wise,|S|,target_axis,target_abbr,S,S_abbr,vary_axis,vary_abbr,label,flip_soft,gap,n_contexts_total,n_contexts_used_flip,n_contexts_used_gap,n_contexts_skipped_both
2wise,1,gender,GEN,age,,age,AGE,{AGE} | GEN,0.27711490384925946,0.6092474395029922,1,1,1,0
2wise,1,disability_status,DIS,age,,age,AGE,{AGE} | DIS,0.14302522552283026,0.3644268884619274,1,1,1,0
2wise,1,appearance_body_status,APP,age,,age,AGE,{AGE} | APP,0.13598685491363444,0.32735955231812924,1,1,1,0
2wise,1,appearance_body_status,APP,gender,,gender,GEN,{GEN} | APP,0.12838238128894658,0.17471561544973527,1,1,1,0
2wise,1,race_ethnicity,ETH,location,,location,LOC,{LOC} | ETH,0.09164015098549919,0.23705199610819894,1,1,1,0
2wise,1,disability_status,DIS,appearance_body_status,,appearance_body_status,APP,{APP} | DIS,0.08043820953670316,0.08314806412583181,1,1,1,0
2wise,1,disability_status,DIS,gender,,gender,GEN,{GEN} | DIS,0.0768023386276716,0.0787662741414939,1,1,1,0
2wise,1,age,AGE,gender,,gender,GEN,{GEN} | AGE,0.06699997321291862,0.06259956008780121,1,1,1,0
2wise,1,race_ethnicity,ETH,age,,age,AGE,{AGE} | ETH,0.06222929239185589,0.18739946291704423,1,1,1,0
2wise,1,age,AGE,appearance_body_status,,appearance_body_status,APP,{APP} | AGE,0.05997743748181705,0.06632777862712114,1,1,1,0
2wise,1,gender,GEN,disability_status,,disability_status,DIS,{DIS} | GEN,0.059243783802913175,0.0666478262021496,1,1,1,0
2wise,1,gender,GEN,race_ethnicity,,race_ethnicity,ETH,{ETH} | GEN,0.04861085472020725,0.09729800104154152,1,1,1,0
2wise,1,disability_status,DIS,location,,location,LOC,{LOC} | DIS,0.04705281186253753,0.11748300391697808,1,1,1,0
2wise,1,location,LOC,age,,age,AGE,{AGE} | LOC,0.04217177491198488,0.09508439946406011,1,1,1,0
2wise,1,age,AGE,race_ethnicity,,race_ethnicity,ETH,{ETH} | AGE,0.04143716417827947,0.08561988409512744,1,1,1,0
2wise,1,disability_status,DIS,race_ethnicity,,race_ethnicity,ETH,{ETH} | DIS,0.038061530296416256,0.08186543869617441,1,1,1,0
2wise,1,race_ethnicity,ETH,appearance_body_status,,appearance_body_status,APP,{APP} | ETH,0.03787725122266761,0.039428911451448,1,1,1,0
2wise,1,race_ethnicity,ETH,disability_status,,disability_status,DIS,{DIS} | ETH,0.036273747121800204,0.03364457690136413,1,1,1,0
2wise,1,race_ethnicity,ETH,gender,,gender,GEN,{GEN} | ETH,0.03431461001824132,0.034512108424901045,1,1,1,0
2wise,1,appearance_body_status,APP,race_ethnicity,,race_ethnicity,ETH,{ETH} | APP,0.02882720793371728,0.07744676296830855,1,1,1,0
